"doc_id","from","text"
"1","THREEPIO","hear shut main reactor destroyed madness"
"2","THREEPIO","doomed"
"3","THREEPIO","there'll escape princess time"
"4","THREEPIO",""
"5","THREEPIO","trust logic half-sized thermocapsulary dehousing assister"
"6","LUKE","hurry waiting gear"
"7","THREEPIO","artoo artoo"
"8","THREEPIO",""
"9","THREEPIO","heading direction spice mine kessel smashed"
"10","THREEPIO","wait minute"
"11","IMPERIAL OFFICER","death star plans main computer"
"12","DARTH VADER","transmissions intercepted"
"13","DARTH VADER","plans"
"14","REBEL OFFICER","intercepted transmissions aaah consular ship diplomatic mission"
"15","DARTH VADER","consular ship ambassador"
"16","DARTH VADER","commander tear ship found plans bring ambassador alive"
"17","TROOPER","set stun"
"18","TROOPER","inform lord vader prisoner"
"19","THREEPIO","hey permitted restricted deactivated"
"20","THREEPIO","call mindless philosopher overweight glob grease sees"
"21","THREEPIO","secret mission plans talking"
"22","THREEPIO","regret"
"23","CHIEF PILOT",""
"24","CAPTAIN","hold fire life forms short-circuited"
"25","THREEPIO","funny damage bad"
"26","THREEPIO","things safe"
"27","LEIA","lord vader bold imperial senate sit hear attacked diplomatic"
"28","DARTH VADER","play games highness mercy mission time passed directly restricted system transmissions beamed ship rebel spies happened plans"
"29","LEIA","talking member imperial senate diplomatic mission alderaan"
"30","DARTH VADER","part rebel alliance traitor"
"31","IMPERIAL OFFICER","holding dangerous word generate sympathy rebellion senate"
"32","DARTH VADER","traced rebel spies link find secret base"
"33","IMPERIAL OFFICER","die tells"
"34","DARTH VADER","leave send distress signal inform senate aboard killed"
"35","IMPERIAL OFFICER","lord vader battle station plans aboard ship transmissions made escape pod jettisoned fighting life forms aboard"
"36","DARTH VADER","hidden plans escape pod send detachment retrieve personally commander there'll stop time"
"37","IMPERIAL OFFICER","sir"
"38","THREEPIO","mess made suffer lot life"
"39","THREEPIO","rest fall joints frozen"
"40","THREEPIO","desolate place"
"41","THREEPIO",""
"42","THREEPIO","rocky easier"
"43","THREEPIO","makes settlements"
"44","THREEPIO","technical"
"45","THREEPIO","mission talking malfunctioning day nearsighted scrap pile"
"46","THREEPIO","catch begging"
"47","THREEPIO","adventures"
"48","THREEPIO","malfunctioning twerp fault tricked"
"49","THREEPIO","wait transport saved"
"50","THREEPIO",""
"51","THREEPIO","artoo"
"52","TROOPER","pod tracks direction"
"53","TROOPER","sir droids"
"54","THREEPIO","wake wake"
"55","THREEPIO","doomed"
"56","THREEPIO","melt"
"57","THREEPIO","shoot shoot end"
"58","BERU","luke owen translator speaks bocce"
"59","LUKE","choice remind"
"60","OWEN","protocol droid"
"61","THREEPIO","sir environment programmed thirty secondary functions"
"62","OWEN","droid understands binary language moisture vaporators"
"63","THREEPIO","vaporators sir job programming binary load lifter similar vaporators"
"64","OWEN","speak bocce"
"65","THREEPIO","sir language fluent bocce"
"66","OWEN","shut"
"67","THREEPIO","shutting sir"
"68","OWEN","luke garage cleaned dinner"
"69","LUKE","tosche station pick power converters"
"70","OWEN","waste time friends chores"
"71","LUKE","red red"
"72","LUKE","uncle owen"
"73","OWEN","yeah"
"74","LUKE","r2 unit bad motivator"
"75","OWEN","hey what're push"
"76","THREEPIO","excuse sir r2 unit prime condition real bargain"
