doc_id;from;to;text;where;number;nouns;determiners;conjunctions;adjectives;prepositions;pronouns;verbs;adverbs;undefined;time
1;ANAKIN;;There isn't a droid made that can out fly you, Master, and no other way to get to the Chancellor...;3 INT. ANAKINS STARFIGHTER COCKPIT-SPACE;20;0;0;0;0;0;0;0;0;0;
2;OBI-WAN;;Look out, four droids inbound...;3 INT. ANAKINS STARFIGHTER COCKPIT-SPACE;5;0;0;0;0;0;0;0;0;0;
3;OBI-WAN;;We've got to split them up.;5 INT. OBI-WAN'S STARFIGHTER COCKPIT-SPACE;6;0;0;0;0;0;0;0;0;0;
4;ANAKIN;;Break left, fly through the guns on that tower.;5 INT. OBI-WAN'S STARFIGHTER COCKPIT-SPACE;9;0;0;0;0;0;0;0;0;0;
5;OBI-WAN;;Easy for you to say... why am I always the bait?;5 INT. OBI-WAN'S STARFIGHTER COCKPIT-SPACE;11;0;0;0;0;0;0;0;0;0;
6;ANAKIN;;Don't worry. I'm coming around behind you.;5 INT. OBI-WAN'S STARFIGHTER COCKPIT-SPACE;7;0;0;0;0;0;0;0;0;0;
7;OBI-WAN;;Anakin, they're all over me!;5 INT. OBI-WAN'S STARFIGHTER COCKPIT-SPACE;5;0;0;0;0;0;0;0;0;0;
8;ANAKIN;;Dead ahead! Closing... lock onto him, ARTOO...;5 INT. OBI-WAN'S STARFIGHTER COCKPIT-SPACE;7;0;0;0;0;0;0;0;0;0;
9;ANAKIN;;We got him, ARTOO!;5 INT. OBI-WAN'S STARFIGHTER COCKPIT-SPACE;4;0;0;0;0;0;0;0;0;0;
10;ANAKIN;;I copy, ARTOO.;5 INT. OBI-WAN'S STARFIGHTER COCKPIT-SPACE;3;0;0;0;0;0;0;0;0;0;
11;OBI-WAN;;I'm going down on the deck.;5 INT. OBI-WAN'S STARFIGHTER COCKPIT-SPACE;6;0;0;0;0;0;0;0;0;0;
12;ANAKIN;;Good idea... I need some room to maneuver.;5 INT. OBI-WAN'S STARFIGHTER COCKPIT-SPACE;8;0;0;0;0;0;0;0;0;0;
13;ANAKIN;;Cut right. Do you hear me?! Cut right. Don't let him get a handle on you. Come on, ARTOO, lock on! Lock on!;5 INT. OBI-WAN'S STARFIGHTER COCKPIT-SPACE;23;0;0;0;0;0;0;0;0;0;
14;OBI-WAN;;Hurry up! I don't like this!;5 INT. OBI-WAN'S STARFIGHTER COCKPIT-SPACE;6;0;0;0;0;0;0;0;0;0;
15;OBI-WAN;;Ouch!;5 INT. OBI-WAN'S STARFIGHTER COCKPIT-SPACE;1;0;0;0;0;0;0;0;0;0;
16;OBI-WAN;;Don't even try to fix it, Arfour. I've shut it down.;5 INT. OBI-WAN'S STARFIGHTER COCKPIT-SPACE;11;0;0;0;0;0;0;0;0;0;
17;ANAKIN;;We're locked on... we've got him...;5 INT. OBI-WAN'S STARFIGHTER COCKPIT-SPACE;6;0;0;0;0;0;0;0;0;0;
18;ANAKIN;; Yeah! We got him... good going, ARTOO.;5 INT. OBI-WAN'S STARFIGHTER COCKPIT-SPACE;7;0;0;0;0;0;0;0;0;0;
19;OBI-WAN;;Next time you're the bait... Now let's find the Command Ship and get on with it...;5 INT. OBI-WAN'S STARFIGHTER COCKPIT-SPACE;16;0;0;0;0;0;0;0;0;0;
20;ANAKIN;;Lock onto them, ARTOO. Master, General Grievous's ship is directly ahead.;5 INT. OBI-WAN'S STARFIGHTER COCKPIT-SPACE;11;0;0;0;0;0;0;0;0;0;
21;ANAKIN;; The one crawling with vulture droids.;5 INT. OBI-WAN'S STARFIGHTER COCKPIT-SPACE;6;0;0;0;0;0;0;0;0;0;
22;OBI-WAN;;I see it. Oh, this is going to be easy.;6 INT. OBI-WAN'S STARFIGHTER COCKPIT-SPACE;10;0;0;0;0;0;0;0;0;0;
23;ANAKIN;;Come on, Master.;6 INT. OBI-WAN'S STARFIGHTER COCKPIT-SPACE;3;0;0;0;0;0;0;0;0;0;
24;OBI-WAN;;Not this time. There's too much at stake. We need help. Odd Ball, do you copy?;6 INT. OBI-WAN'S STARFIGHTER COCKPIT-SPACE;16;0;0;0;0;0;0;0;0;0;
25;ODD BALL;;Copy, Red Leader.;6 INT. OBI-WAN'S STARFIGHTER COCKPIT-SPACE;3;0;0;0;0;0;0;0;0;0;
26;OBI-WAN;;Mark my position and form your squad up behind me...;6 INT. OBI-WAN'S STARFIGHTER COCKPIT-SPACE;10;0;0;0;0;0;0;0;0;0;
27;ODD BALL;;We're on your tail, General Kenobi. Set S-foils in attack position.;7 INT. ODD BALL'S FIGHTER COCKPIT-SPACE;11;0;0;0;0;0;0;0;0;0;
28;ANAKIN;;This is where the fun begins. Ten Vulture Droids straight ahead, coming down the left side.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;16;0;0;0;0;0;0;0;0;0;
29;OBI-WAN;;Add five Tri-fighters on the right...;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;6;0;0;0;0;0;0;0;0;0;
30;ANAKIN;;I'm going head to head. See you.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;7;0;0;0;0;0;0;0;0;0;
31;OBI-WAN;;Take it easy, Anakin.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;4;0;0;0;0;0;0;0;0;0;
32;ODD BALL;;I'm on your right, Red Leader.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;6;0;0;0;0;0;0;0;0;0;
33;ANAKIN;;Incoming!!;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;1;0;0;0;0;0;0;0;0;0;
34;OBI-WAN;;Five more on the right!;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;5;0;0;0;0;0;0;0;0;0;
35;ANAKIN;;Here we go.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;3;0;0;0;0;0;0;0;0;0;
36;OBI-WAN;;I'm going high and right.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;5;0;0;0;0;0;0;0;0;0;
37;ANAKIN;;Hang on. There are four more of them.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;8;0;0;0;0;0;0;0;0;0;
38;OBI-WAN;;Stay with me... swing back and right... help me engage. Back off... Let them pass between us.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;17;0;0;0;0;0;0;0;0;0;
39;ANAKIN;;I'm coming around. I'm coming around on your tail.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;9;0;0;0;0;0;0;0;0;0;
40;OBI-WAN;;All right, engage... and hurry. These droids are all over me like a rash.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;14;0;0;0;0;0;0;0;0;0;
41;ARTOO;;CHIRPS.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;1;0;0;0;0;0;0;0;0;0;
42;ARTOO;;BEEPS;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;2;0;0;0;0;0;0;0;0;0;
43;ANAKIN;;How many back there. ARTOO? Three...  Four... that's not good.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;10;0;0;0;0;0;0;0;0;0;
44;OBI-WAN;;Anakin, you have four on your tail.;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;7;0;0;0;0;0;0;0;0;0;
45;ANAKIN;;I know. I know!;8 INT. ANAKIN'S FIGHTER COCKPIT-SPACE;4;0;0;0;0;0;0;0;0;0;
